WINTER,Winter Start,Winter End,CLOSED,Closed Date,Closed Full Date,OPENED,Opneed Date,Opened Full Date,DAYS
1852-53,1852,1853,,,1852,5-Apr,4/5/,4/5/1853,
1853-54,1853,1854,27-Dec,12/27/,12/27/1853,,,1854,
1854-55,1854,1855,,,1854,,,1855,
1855-56,1855,1856,18-Dec,12/18/,12/18/1855,14-Apr,4/14/,4/14/1856,118
1856-57,1856,1857,6-Dec,12/6/,12/6/1856,6-May,5/6/,5/6/1857,151
1857-58,1857,1858,25-Nov,11/25/,11/25/1857,26-Mar,3/26/,3/26/1858,121
1858-59,1858,1859,8-Dec,12/8/,12/8/1858,14-Mar,3/14/,3/14/1859,96
1859-60,1859,1860,7-Dec,12/7/,12/7/1859,26-Mar,3/26/,3/26/1860,110
1860-61,1860,1861,14-Dec,12/14/,12/14/1860,10-Apr,4/10/,4/10/1861,117
1861-62,1861,1862,2-Dec,12/2/,12/2/1861,13-Apr,4/13/,4/13/1862,132
1862-63,1862,1863,26-Dec,12/26/,12/26/1862,9-Apr,4/9/,4/9/1863,104
1863-64,1863,1864,18-Dec,12/18/,12/18/1863,21-Apr,4/21/,4/21/1864,125
1864-65,1864,1865,8-Dec,12/8/,12/8/1864,5-Apr,4/5/,4/5/1865,118
1865-66,1865,1866,14-Dec,12/14/,12/14/1865,18-Apr,4/18/,4/18/1866,125
1866-67,1866,1867,18-Dec,12/18/,12/18/1866,20-Apr,4/20/,4/20/1867,123
1867-68,1867,1868,12-Dec,12/12/,12/12/1867,31-Mar,3/31/,3/31/1868,110
1868-69,1868,1869,10-Dec,12/10/,12/10/1868,16-Apr,4/16/,4/16/1869,127
1869-70,1869,1870,2-Dec,12/2/,12/2/1869,12-Apr,4/12/,4/12/1870,131
1870-71,1870,1871,24-Dec,12/24/,12/24/1870,2-Apr,4/2/,4/2/1871,99
1871-72,1871,1872,19-Dec,12/19/,12/19/1871,23-Apr,4/23/,4/23/1872,126
1872-73,1872,1873,30-Nov,11/30/,11/30/1872,23-Apr,4/23/,4/23/1873,144
1873-74,1873,1874,29-Nov,11/29/,11/29/1873,14-Apr,4/14/,4/14/1874,136
1874-75,1874,1875,10-Dec,12/10/,12/10/1874,15-Apr,4/15/,4/15/1875,126
1875-76,1875,1876,10-Jan,1/10/,1/10/1875,10-Apr,4/10/,4/10/1876,91
1876-77,1876,1877,8-Dec,12/8/,12/8/1876,17-Apr,4/17/,4/17/1877,130
1877-78,1877,1878,6-Jan,1/6/,1/6/1877,9-Mar,3/9/,3/9/1878,62
1878-79,1878,1879,21-Dec,12/21/,12/21/1878,12-Apr,4/12/,4/12/1879,112
1879-80,1879,1880,17-Dec,12/17/,12/17/1879,25-Mar,3/25/,3/25/1880,99
1880-81,1880,1881,23-Nov,11/23/,11/23/1880,3-May,5/3/,5/3/1881,161
1881-82,1881,1882,2-Jan,1/2/,1/2/1881,21-Mar,3/21/,3/21/1882,78
1882-83,1882,1883,10-Dec,12/10/,12/10/1882,13-Apr,4/13/,4/13/1883,124
1883-84,1883,1884,18-Dec,12/18/,12/18/1883,15-Apr,4/15/,4/15/1884,119
1884-85,1884,1885,17-Dec,12/17/,12/17/1884,20-Apr,4/20/,4/20/1885,124
1885-86,1885,1886,12-Dec,12/12/,12/12/1885,19-Apr,4/19/,4/19/1886,128
1886-87,1886,1887,5-Dec,12/5/,12/5/1886,15-Apr,4/15/,4/15/1887,131
1887-88,1887,1888,24-Dec,12/24/,12/24/1887,15-Apr,4/15/,4/15/1888,113
1888-89,1888,1889,2-Jan,1/2/,1/2/1888,31-Mar,3/31/,3/31/1889,88
1889-90,1889,1890,14-Jan,1/14/,1/14/1889,30-Mar,3/30/,3/30/1890,75
1890-91,1890,1891,26-Dec,12/26/,12/26/1890,16-Apr,4/16/,4/16/1891,111
1891-92,1891,1892,27-Dec,12/27/,12/27/1891,2-Apr,4/2/,4/2/1892,97
1892-93,1892,1893,16-Dec,12/16/,12/16/1892,7-Apr,4/7/,4/7/1893,112
1893-94,1893,1894,4-Dec,12/4/,12/4/1893,15-Mar,3/15/,3/15/1894,101
1894-95,1894,1895,28-Dec,12/28/,12/28/1894,8-Apr,4/8/,4/8/1895,101
1895-96,1895,1896,5-Jan,1/5/,1/5/1895,5-Apr,4/5/,4/5/1896,91
1896-97,1896,1897,21-Dec,12/21/,12/21/1896,10-Apr,4/10/,4/10/1897,110
1897-98,1897,1898,17-Dec,12/17/,12/17/1897,27-Mar,3/27/,3/27/1898,100
1898-99,1898,1899,9-Dec,12/9/,12/9/1898,18-Apr,4/18/,4/18/1899,130
1899-00,1899,1900,27-Dec,12/27/,12/27/1899,17-Apr,4/17/,4/17/1900,111
1900-01,1900,1901,25-Dec,12/25/,12/25/1900,11-Apr,4/11/,4/11/1901,107
1901-02,1901,1902,15-Dec,12/15/,12/15/1901,30-Mar,3/30/,3/30/1902,105
1902-03,1902,1903,25-Dec,12/25/,12/25/1902,24-Mar,3/24/,3/24/1903,89
1903-04,1903,1904,13-Dec,12/13/,12/13/1903,17-Apr,4/17/,4/17/1904,126
1904-05,1904,1905,14-Dec,12/14/,12/14/1904,1-Apr,4/1/,4/1/1905,108
1905-06,1905,1906,1-Jan,1/1/,1/1/1905,8-Apr,4/8/,4/8/1906,97
1906-07,1906,1907,20-Dec,12/20/,12/20/1906,24-Mar,3/24/,3/24/1907,94
1907-08,1907,1908,1-Jan,1/1/,1/1/1907,24-Mar,3/24/,3/24/1908,83
1908-09,1908,1909,22-Dec,12/22/,12/22/1908,7-Apr,4/7/,4/7/1909,106
1909-10,1909,1910,18-Dec,12/18/,12/18/1909,26-Mar,3/26/,3/26/1910,98
1910-11,1910,1911,9-Dec,12/9/,12/9/1910,20-Mar,3/20/,3/20/1911,101
1911-12,1911,1912,28-Dec,12/28/,12/28/1911,14-Apr,4/14/,4/14/1912,108
1912-13,1912,1913,24-Dec,12/24/,12/24/1912,2-Apr,4/2/,4/2/1913,99
1913-14,1913,1914,12-Jan,1/12/,1/12/1913,10-Apr,4/10/,4/10/1914,88
1914-15,1914,1915,16-Dec,12/16/,12/16/1914,10-Apr,4/10/,4/10/1915,115
1915-16,1915,1916,28-Dec,12/28/,12/28/1915,8-Apr,4/8/,4/8/1916,102
1916-17,1916,1917,16-Dec,12/16/,12/16/1916,11-Apr,4/11/,4/11/1917,116
1917-18,1917,1918,11-Dec,12/11/,12/11/1917,5-Apr,4/5/,4/5/1918,115
1918-19,1918,1919,3-Jan,1/3/,1/3/1918,26-Mar,3/26/,3/26/1919,82
1919-20,1919,1920,9-Dec,12/9/,12/9/1919,28-Mar,3/28/,3/28/1920,110
1920-21,1920,1921,25-Dec,12/25/,12/25/1920,16-Mar,3/16/,3/16/1921,81
1921-22,1921,1922,25-Dec,12/25/,12/25/1921,31-Mar,3/31/,3/31/1922,96
1922-23,1922,1923,16-Dec,12/16/,12/16/1922,20-Apr,4/20/,4/20/1923,125
1923-24,1923,1924,1-Jan,1/1/,1/1/1923,14-Apr,4/14/,4/14/1924,104
1924-25,1924,1925,19-Dec,12/19/,12/19/1924,3-Apr,4/3/,4/3/1925,105
1925-26,1925,1926,16-Dec,12/16/,12/16/1925,19-Apr,4/19/,4/19/1926,124
1926-27,1926,1927,6-Dec,12/6/,12/6/1926,19-Mar,3/19/,3/19/1927,103
1927-28,1927,1928,17-Dec,12/17/,12/17/1927,1-Apr,4/1/,4/1/1928,106
1928-29,1928,1929,21-Dec,12/21/,12/21/1928,27-Mar,3/27/,3/27/1929,96
1929-30,1929,1930,3-Dec,12/3/,12/3/1929,20-Mar,3/20/,3/20/1930,107
1930-31,1930,1931,16-Dec,12/16/,12/16/1930,24-Mar,3/24/,3/24/1931,98
1931-32,1931,1932,30-Jan,1/30/,1/30/1931,4-Apr,4/4/,4/4/1932,65
1932-33,1932,1933,10-Dec,12/10/,12/10/1932,4-Apr,4/4/,4/4/1933,115
1933-34,1933,1934,25-Dec,12/25/,12/25/1933,26-Mar,3/26/,3/26/1934,91
1934-35,1934,1935,24-Dec,12/24/,12/24/1934,28-Mar,3/28/,3/28/1935,94
1935-36,1935,1936,20-Dec,12/20/,12/20/1935,30-Mar,3/30/,3/30/1936,101
1936-37,1936,1937,7-Dec,12/7/,12/7/1936,30-Dec,12/30/,12/30/1937,
,,,5-Jan,1/5/,1/5/,13-Apr,4/13/,4/13/,121
1937-38,1937,1938,7-Dec,12/7/,12/7/1937,22-Mar,3/22/,3/22/1938,105
1938-39,1938,1939,28-Dec,12/28/,12/28/1938,4-Apr,4/4/,4/4/1939,97
1939-40,1939,1940,2-Jan,1/2/,1/2/1939,16-Apr,4/16/,4/16/1940,105
1940-41,1940,1941,5-Jan,1/5/,1/5/1940,11-Apr,4/11/,4/11/1941,96
1941-42,1941,1942,3-Jan,1/3/,1/3/1941,26-Mar,3/26/,3/26/1942,82
1942-43,1942,1943,7-Dec,12/7/,12/7/1942,2-Apr,4/2/,4/2/1943,116
1943-44,1943,1944,16-Dec,12/16/,12/16/1943,8-Apr,4/8/,4/8/1944,114
1944-45,1944,1945,18-Dec,12/18/,12/18/1944,20-Mar,3/20/,3/20/1945,92
1945-46,1945,1946,13-Dec,12/13/,12/13/1945,21-Mar,3/21/,3/21/1946,98
1946-47,1946,1947,30-Dec,12/30/,12/30/1946,10-Apr,4/10/,4/10/1947,101
1947-48,1947,1948,21-Dec,12/21/,12/21/1947,3-Apr,4/3/,4/3/1948,104
1948-49,1948,1949,24-Dec,12/24/,12/24/1948,30-Mar,3/30/,3/30/1949,96
1949-50,1949,1950,23-Dec,12/23/,12/23/1949,11-Apr,4/11/,4/11/1950,109
1950-51,1950,1951,11-Dec,12/11/,12/11/1950,12-Apr,4/12/,4/12/1951,122
1951-52,1951,1952,16-Dec,12/16/,12/16/1951,8-Apr,4/8/,4/8/1952,114
1952-53,1952,1953,30-Dec,12/30/,12/30/1952,21-Mar,3/21/,3/21/1953,81
1953-54,1953,1954,30-Dec,12/30/,12/30/1953,25-Mar,3/25/,3/25/1954,85
1954-55,1954,1955,2-Jan,1/2/,1/2/1954,4-Apr,4/4/,4/4/1955,92
1955-56,1955,1956,12-Dec,12/12/,12/12/1955,4-Apr,4/4/,4/4/1956,114
1956-57,1956,1957,14-Dec,12/14/,12/14/1956,4-Apr,4/4/,4/4/1957,111
1957-58,1957,1958,30-Dec,12/30/,12/30/1957,4-Apr,4/4/,4/4/1958,95
1958-59,1958,1959,9-Dec,12/9/,12/9/1958,14-Apr,4/14/,4/14/1959,126
1959-60,1959,1960,29-Dec,12/29/,12/29/1959,12-Apr,4/12/,4/12/1960,105
1960-61,1960,1961,19-Dec,12/19/,12/19/1960,6-Apr,4/6/,4/6/1961,108
1961-62,1961,1962,16-Dec,12/16/,12/16/1961,12-Apr,4/12/,4/12/1962,117
1962-63,1962,1963,12-Dec,12/12/,12/12/1962,3-Apr,4/3/,4/3/1963,112
1963-64,1963,1964,20-Dec,12/20/,12/20/1963,11-Apr,4/11/,4/11/1964,113
1964-65,1964,1965,15-Dec,12/15/,12/15/1964,14-Apr,4/14/,4/14/1965,120
1965-66,1965,1966,11-Jan,1/11/,1/11/1965,17-Mar,3/17/,3/17/1966,65
1966-67,1966,1967,26-Dec,12/26/,12/26/1966,3-Apr,4/3/,4/3/1967,98
1967-68,1967,1968,27-Dec,12/27/,12/27/1967,27-Mar,3/27/,3/27/1968,91
1968-69,1968,1969,17-Dec,12/17/,12/17/1968,19-Dec,12/19/,12/19/1969,-
,,,25-Dec,12/25/,12/25/,10-Apr,4/10/,4/10/,108
1969-70,1969,1970,16-Dec,12/16/,12/16/1969,8-Apr,4/8/,4/8/1970,113
1970-71,1970,1971,24-Dec,12/24/,12/24/1970,13-Apr,4/13/,4/13/1971,110
1971-72,1971,1972,5-Jan,1/5/,1/5/1971,19-Apr,4/19/,4/19/1972,105
1972-73,1972,1973,7-Dec,12/7/,12/7/1972,14-Mar,3/14/,3/14/1973,97
1973-74,1973,1974,21-Dec,12/21/,12/21/1973,5-Apr,4/5/,4/5/1974,105
1974-75,1974,1975,2-Jan,1/2/,1/2/1974,19-Apr,4/19/,4/19/1975,107
1975-76,1975,1976,27-Dec,12/27/,12/27/1975,24-Mar,3/24/,3/24/1976,88
1976-77,1976,1977,3-Dec,12/3/,12/3/1976,28-Mar,3/28/,3/28/1977,115
1977-78,1977,1978,7-Dec,12/7/,12/7/1977,8-Dec,12/8/,12/8/1978,-
,,,10-Dec,12/10/,12/10/,11-Apr,4/11/,4/11/,123
1978-79,1978,1979,10-Dec,12/10/,12/10/1978,13-Dec,12/13/,12/13/1979,-
,,,25-Dec,12/25/,12/25/,19-Apr,4/19/,4/19/,118
1979-80,1979,1980,29-Dec,12/29/,12/29/1979,6-Apr,4/6/,4/6/1980,99
1980-81,1980,1981,20-Dec,12/20/,12/20/1980,23-Mar,3/23/,3/23/1981,93
1981-82,1981,1982,28-Dec,12/28/,12/28/1981,3-Apr,4/3/,4/3/1982,96
1982-83,1982,1983,13-Jan,1/13/,1/13/1982,8-Mar,3/8/,3/8/1983,54
1983-84,1983,1984,19-Dec,12/19/,12/19/1983,8-Apr,4/8/,4/8/1984,111
1984-85,1984,1985,25-Dec,12/25/,12/25/1984,26-Dec,12/26/,12/26/1985,-
,,,2-Jan,1/2/,1/2/,27-Mar,3/27/,3/27/,85
1985-86,1985,1986,14-Dec,12/14/,12/14/1985,31-Mar,3/31/,3/31/1986,107
1986-87,1986,1987,13-Dec,12/13/,12/13/1986,12-Mar,3/12/,3/12/1987,89
1987-88,1987,1988,2-Jan,1/2/,1/2/1987,29-Mar,3/29/,3/29/1988,87
1988-89,1988,1989,29-Dec,12/29/,12/29/1988,5-Apr,4/5/,4/5/1989,97
1989-90,1989,1990,12-Dec,12/12/,12/12/1989,15-Mar,3/15/,3/15/1990,93
1990-91,1990,1991,26-Dec,12/26/,12/26/1990,24-Mar,3/24/,3/24/1991,88
1991-92,1991,1992,18-Dec,12/18/,12/18/1991,26-Mar,3/26/,3/26/1992,99
1992-93,1992,1993,24-Dec,12/24/,12/24/1992,11-Apr,4/11/,4/11/1993,108
1993-94,1993,1994,27-Dec,12/27/,12/27/1993,31-Mar,3/31/,3/31/1994,94
1994-95,1994,1995,6-Jan,1/6/,1/6/1994,21-Mar,3/21/,3/21/1995,74
1995-96,1995,1996,10-Dec,12/10/,12/10/1995,7-Apr,4/7/,4/7/1996,119
1996-97,1996,1997,20-Dec,12/20/,12/20/1996,1-Apr,4/1/,4/1/1997,102
1997-98,1997,1998,11-Jan,1/11/,1/11/1997,27-Feb,2/27/,2/27/1998,47
1998-99,1998,1999,30-Dec,12/30/,12/30/1998,21-Mar,3/21/,3/21/1999,82
1999-00,1999,2000,14-Jan,1/14/,1/14/1999,7-Mar,3/7/,3/7/2000,53
2000-01,2000,2001,13-Dec,12/13/,12/13/2000,7-Apr,4/7/,4/7/2001,115
2001-02,2001,2002,2-Jan,1/2/,1/2/2001,12-Jan,1/12/,1/12/2002,--
,,,4-Mar,3/4/,3/4/,15-Mar,3/15/,3/15/, 21
2002-03,2002,2003,4-Jan,1/4/,1/4/2002,3-Apr,4/3/,4/3/2003, 89
2003-04,2003,2004,7-Jan,1/7/,1/7/2003,27-Mar,3/27/,3/27/2004, 80
2004-05,2004,2005,25-Dec,12/25/,12/25/2004,5-Apr,4/5/,4/5/2005,101
2005-06,2005,2006,19-Dec,12/19/,12/19/2005,24-Mar,3/24/,3/24/2006, 95
2006-07,2006,2007,20-Jan,1/20/,1/20/2006,27-Mar,3/27/,3/27/2007, 66
2007-08,2007,2008,26-Dec,12/26/,12/26/2007,10-Apr,4/10/,4/10/2008,106
2008-09,2008,2009,16-Dec,12/16/,12/16/2008,23-Mar,3/23/,3/23/2009, 97
2009-10,2009,2010,29-Dec,12/29/,12/29/2009,26-Mar,3/26/,3/26/2010, 87
2010-11,2010,2011,15-Dec,12/15/,12/15/2010, 3 Apr,4/3/,4/3/2011,109
2011-12,2011,2012,14-Jan,1/14/,1/14/2011,11-Mar,3/11/,3/11/2012, 57
2012-13,2012,2013,14-Jan,1/14/,1/14/2012,11-Apr,4/11/,4/11/2013, 87
2013-14,2013,2014,16-Dec,12/16/,12/16/2013,12-Apr,4/12/,4/12/2014,117
2014-15,2014,2015, 2 Jan,1/2/,1/2/2014,3-Apr,4/3/,4/3/2015, 91
2015-16,2015,2016,11-Jan,1/11/,1/11/2015,13-Mar,3/13/,3/13/2016,  62 
2016-17,2016,2017, 1 Jan,1/1/,1/1/2016,7-Mar,3/7/,3/7/2017,  65 
2017-18,2017,2018,27-Dec,12/27/,12/27/2017,31-Mar,3/31/,3/31/2018, 94 
2018-19,2018,2019,15-Dec,12/15/,12/15/2018,,,2019,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
