WINTER,Winter Start,CLOSED,Closed Full Date,Julian Closed,OPENED,Opened Full Date,Julian Opened,DAYS
1855-56,1855,18-Dec,12/18/1855,352,14-Apr,4/14/1856,105,118
1856-57,1856,6-Dec,12/6/1856,341,6-May,5/6/1857,126,151
1857-58,1857,25-Nov,11/25/1857,329,26-Mar,3/26/1858,085,121
1858-59,1858,8-Dec,12/8/1858,342,14-Mar,3/14/1859,073,96
1859-60,1859,7-Dec,12/7/1859,341,26-Mar,3/26/1860,086,110
1860-61,1860,14-Dec,12/14/1860,349,10-Apr,4/10/1861,100,117
1861-62,1861,2-Dec,12/2/1861,336,13-Apr,4/13/1862,103,132
1862-63,1862,26-Dec,12/26/1862,360,9-Apr,4/9/1863,099,104
1863-64,1863,18-Dec,12/18/1863,352,21-Apr,4/21/1864,112,125
1864-65,1864,8-Dec,12/8/1864,343,5-Apr,4/5/1865,095,118
1865-66,1865,14-Dec,12/14/1865,348,18-Apr,4/18/1866,108,125
1866-67,1866,18-Dec,12/18/1866,352,20-Apr,4/20/1867,110,123
1867-68,1867,12-Dec,12/12/1867,346,31-Mar,3/31/1868,091,110
1868-69,1868,10-Dec,12/10/1868,345,16-Apr,4/16/1869,106,127
1869-70,1869,2-Dec,12/2/1869,336,12-Apr,4/12/1870,102,131
1870-71,1870,24-Dec,12/24/1870,358,2-Apr,4/2/1871,092,99
1871-72,1871,19-Dec,12/19/1871,353,23-Apr,4/23/1872,114,126
1872-73,1872,30-Nov,11/30/1872,335,23-Apr,4/23/1873,113,144
1873-74,1873,29-Nov,11/29/1873,333,14-Apr,4/14/1874,104,136
1874-75,1874,10-Dec,12/10/1874,344,15-Apr,4/15/1875,105,126
1875-76,1875,10-Jan,1/10/1875,010,10-Apr,4/10/1876,101,91
1876-77,1876,8-Dec,12/8/1876,343,17-Apr,4/17/1877,107,130
1877-78,1877,6-Jan,1/6/1877,006,9-Mar,3/9/1878,068,62
1878-79,1878,21-Dec,12/21/1878,355,12-Apr,4/12/1879,102,112
1879-80,1879,17-Dec,12/17/1879,351,25-Mar,3/25/1880,085,99
1880-81,1880,23-Nov,11/23/1880,328,3-May,5/3/1881,123,161
1881-82,1881,2-Jan,1/2/1881,002,21-Mar,3/21/1882,080,78
1882-83,1882,10-Dec,12/10/1882,344,13-Apr,4/13/1883,103,124
1883-84,1883,18-Dec,12/18/1883,352,15-Apr,4/15/1884,106,119
1884-85,1884,17-Dec,12/17/1884,352,20-Apr,4/20/1885,110,124
1885-86,1885,12-Dec,12/12/1885,346,19-Apr,4/19/1886,109,128
1886-87,1886,5-Dec,12/5/1886,339,15-Apr,4/15/1887,105,131
1887-88,1887,24-Dec,12/24/1887,358,15-Apr,4/15/1888,106,113
1888-89,1888,2-Jan,1/2/1888,002,31-Mar,3/31/1889,090,88
1889-90,1889,14-Jan,1/14/1889,014,30-Mar,3/30/1890,089,75
1890-91,1890,26-Dec,12/26/1890,360,16-Apr,4/16/1891,106,111
1891-92,1891,27-Dec,12/27/1891,361,2-Apr,4/2/1892,093,97
1892-93,1892,16-Dec,12/16/1892,351,7-Apr,4/7/1893,097,112
1893-94,1893,4-Dec,12/4/1893,338,15-Mar,3/15/1894,074,101
1894-95,1894,28-Dec,12/28/1894,362,8-Apr,4/8/1895,098,101
1895-96,1895,5-Jan,1/5/1895,005,5-Apr,4/5/1896,096,91
1896-97,1896,21-Dec,12/21/1896,356,10-Apr,4/10/1897,100,110
1897-98,1897,17-Dec,12/17/1897,351,27-Mar,3/27/1898,086,100
1898-99,1898,9-Dec,12/9/1898,343,18-Apr,4/18/1899,108,130
1899-00,1899,27-Dec,12/27/1899,361,17-Apr,4/17/1900,107,111
1900-01,1900,25-Dec,12/25/1900,359,11-Apr,4/11/1901,101,107
1901-02,1901,15-Dec,12/15/1901,349,30-Mar,3/30/1902,089,105
1902-03,1902,25-Dec,12/25/1902,359,24-Mar,3/24/1903,083,89
1903-04,1903,13-Dec,12/13/1903,347,17-Apr,4/17/1904,108,126
1904-05,1904,14-Dec,12/14/1904,349,1-Apr,4/1/1905,091,108
1905-06,1905,1-Jan,1/1/1905,001,8-Apr,4/8/1906,098,97
1906-07,1906,20-Dec,12/20/1906,354,24-Mar,3/24/1907,083,94
1907-08,1907,1-Jan,1/1/1907,001,24-Mar,3/24/1908,084,83
1908-09,1908,22-Dec,12/22/1908,357,7-Apr,4/7/1909,097,106
1909-10,1909,18-Dec,12/18/1909,352,26-Mar,3/26/1910,085,98
1910-11,1910,9-Dec,12/9/1910,343,20-Mar,3/20/1911,079,101
1911-12,1911,28-Dec,12/28/1911,362,14-Apr,4/14/1912,105,108
1912-13,1912,24-Dec,12/24/1912,359,2-Apr,4/2/1913,092,99
1913-14,1913,12-Jan,1/12/1913,012,10-Apr,4/10/1914,100,88
1914-15,1914,16-Dec,12/16/1914,350,10-Apr,4/10/1915,100,115
1915-16,1915,28-Dec,12/28/1915,362,8-Apr,4/8/1916,099,102
1916-17,1916,16-Dec,12/16/1916,351,11-Apr,4/11/1917,101,116
